category_id,name,supercategory,
fd01,밥류,음식,
fd02,빵 및 과자류,음식,
fd03,면 및 만두류,음식,
fd04,죽 및 스프류,음식,
fd05,국 및 탕류,음식,
fd06,찌개 및 전골류,음식,
fd07,찜류,음식,
fd08,구이류,음식,
fd09,전·적 및 부침류,음식,
fd10,볶음류,음식,
fd11,조림류,음식,
fd12,튀김류,음식,
fd13,나물·숙채류,음식,
fd14,생채·무침류,음식,
fd15,김치류,음식,
fd16,젓갈류,음식,
fd17,장아찌·절임류,음식,
fd18,음료 및 차류,음식,
fd19,수·조·어·육류,음식,
fd20,"장류, 양념류",음식,
fd21,유제품류 및 빙과류,음식,
fd22,과일류,음식,
fd23,"두류, 견과 및 종실류",음식,
fd24,"곡류, 서류 제품",음식,
fd25,"채소, 해조류",음식,
pf01,과자류·빵류 또는 떡류,가공식품, 
pf02,빙과류,가공식품,
pf03,코코아가공품류 또는 초콜릿류,가공식품,
pf04,당류,가공식품, 
pf05,잼류,가공식품,
pf06,두부류 또는 묵류,가공식품,
pf07,식용유지류,가공식품,
pf08,면류,가공식품,
pf09,음료류,가공식품,
pf10,특수영양식품,가공식품,
pf11,특수의료용도식품,가공식품,
pf12,장류,가공식품,
pf13,조미식품,가공식품,
pf14,절임류 또는 조림류,가공식품,
pf15,주류,가공식품,
pf16,농산가공식품류,가공식품,
pf17,식육가공품 및 포장육,가공식품,
pf18,알가공품류,가공식품,
pf19,유가공품류,가공식품,
pf20,수산가공식품류,가공식품,
pf21,동물성가공식품류,가공식품,
pf22,벌꿀 및 화분가공품류,가공식품,
pf23,즉석식품류,가공식품,
pf24,기타식품류,가공식품,
