Category,Subcategory,Food_Number,Food_Item,Country,Year,GI_SEM,GL,Subjects,Avail_Carb_g,Test_Portion_g,Ref_Food_Time,Timepoints,Sample_Collection,Analysis_Method,Ref,GI_Value,GI_SEM_Value
BAKERY PRODUCTS,Cakes,1.0,"Cake, NS, decreased GI variant, sugar-to-flour ratio: 0.80 (Bakery School, Herk-de-Stad, Belgium)",Belgium,2010*,20±4,6.0,"Normal, 10",25.0,54.4,"Glucose, 2h",Standard,"Venous, plasma/serum",Enzymatic,1,20.0,4.0
BAKERY PRODUCTS,Cakes,2.0,"Carrot cake, prepared with wheat flour and coconut flour",Philippines,2002,37±2,11.0,"Normal, 10",50.0,,"Bread, 2h",Standard,"Capillary, serum",Enzymatic,2,37.0,2.0
BAKERY PRODUCTS,Cakes,3.0,"Chocolate cake made from packet mix with chocolate frosting (Betty Crocker, General Mills Inc., Minneapolis, USA)",USA,2000,38±3,11.0,"Normal, 10",50.0,92.4,"Glucose, 2h",Standard,"Capillary, plasma",Enzymatic,UO5,38.0,3.0
BAKERY PRODUCTS,Cakes,4.0,Chocolate mudcake,Australia,2009,43±4,13.0,"Normal, 9",50.0,109.4,"Glucose, 2h",Standard,"Capillary, plasma",Enzymatic,UO5,43.0,4.0
BAKERY PRODUCTS,Cakes,5.0,Christmas fruit cake,Australia,2009,53±3,16.0,"Normal, 10",50.0,90.6,"Glucose, 2h",Standard,"Capillary, plasma",Enzymatic,UO5,53.0,3.0
BAKERY PRODUCTS,Cakes,6.0,"Cupcake, strawberry-iced (Squiggles, Farmland, Grocery Holdings, Tooronga, Australia)",Australia,2000,73±12,22.0,"Normal, 10",50.0,74.2,"Glucose, 2h",Standard,"Capillary, plasma",Enzymatic,UO5,73.0,12.0
BAKERY PRODUCTS,Cakes,7.0,"Plumcake, prepared with wheat flour and yogurt (Mulino Bianco, Barilla, Italy)6",Italy,2005,47±6,14.0,"Normal, 10",50.0,100.0,"Glucose, 2h",Standard,"Capillary, whole blood",YSI,3,47.0,6.0
BAKERY PRODUCTS,Cakes,8.0,"Pound cake 0% (Bimbo S.A de C.V, Mexico)",Mexico,2006,38±5,11.0,"Normal, 12",50.0,122.2,"Glucose, 2h",Standard,"Capillary, plasma",Enzymatic,UO5,38.0,5.0
BAKERY PRODUCTS,Cakes,9.0,"Raspberry Coffee cake, President's Choice® Blue Menu™ (Loblaw Brands Limited, Canada)",Canada,2007,50±4,15.0,"Normal, 10",50.0,113.6,"Bread, 2h",Standard,"Capillary, whole blood",YSI,UO7,50.0,4.0
BAKERY PRODUCTS,Cakes,10.0,"Sponge cake, filled with marmalade and yogurt cream (Yogo brioss, Ferrero, Italy)",Italy,2014,57±5,17.0,"Normal, 10",25.0,50.0,"Glucose, 2h",Standard,"Capillary, whole blood",YSI,3,57.0,5.0
BAKERY PRODUCTS,Cakes,11.0,"Sponge cake with cocoa, milk cream-filled, coated with chocolate (Kinder Délice, Italy)6",Italy,2012,58±8,17.0,"Normal, 10",50.0,114.8,"Glucose, 2h",Standard,"Capillary, whole blood",YSI,3,58.0,8.0
BAKERY PRODUCTS,Cakes,12.0,"Sponge cake with cocoa, milk cream-filled, coated with chocolate and coconut pieces (Kinder Délice Cocco, Kinder, Ferrero, Italy)",Italy,2012,56±6,17.0,"Normal, 10",25.0,62.0,"Glucose, 2h",Standard,"Capillary, whole blood",YSI,3,56.0,6.0
