raw_category,mapped_category,mapped_category_id,score
캔디류,밥류,fd01,0.0
고춧가루,밥류,fd01,0.0
다류(액상차),밥류,fd01,0.0
햄류,밥류,fd01,0.0
추출가공식품,밥류,fd01,0.0
드레싱,밥류,fd01,0.0
한우,밥류,fd01,0.0
햄,밥류,fd01,0.0
액상커피,밥류,fd01,0.0
비가열식품,밥류,fd01,0.0
커피,밥류,fd01,0.0
가공식품,밥류,fd01,0.0
식품추출가공품,밥류,fd01,0.0
리큐르,밥류,fd01,0.0
샤베트,밥류,fd01,0.0
신선식품,밥류,fd01,0.0
밀가루,밥류,fd01,0.0
식품,밥류,fd01,0.0
홍삼제품,밥류,fd01,0.0
순대,밥류,fd01,0.0
캔디류(젤리),밥류,fd01,0.0
시리얼류,밥류,fd01,0.0
햄류-햄,밥류,fd01,0.0
햄류(햄),밥류,fd01,0.0
,밥류,fd01,0.0
마요네즈,밥류,fd01,0.0
난백액,밥류,fd01,0.0
난황액,밥류,fd01,0.0
밀가루1등급,밥류,fd01,0.0
가공품,밥류,fd01,0.0
가공버터,밥류,fd01,0.0
토마토케첩,밥류,fd01,0.0
케익류,밥류,fd01,0.0
카레,밥류,fd01,0.0
땅콩,밥류,fd01,0.0
"카레,레토르트식품",밥류,fd01,0.0
비살균제품,밥류,fd01,0.0
캔디,밥류,fd01,0.0
쇼트닝,밥류,fd01,0.0
강정류,밥류,fd01,0.0
Energy Drinks,밥류,fd01,0.0
밀가루 2등급,밥류,fd01,0.0
밀가루 1등급,밥류,fd01,0.0
디저트,밥류,fd01,0.0
밀가루(강력밀가루1등급),밥류,fd01,0.0
밀가루(1등급),밥류,fd01,0.0
밀가루(중력분 1등급),밥류,fd01,0.0
밀가루(2등급),밥류,fd01,0.0
밀가루(박력밀가루1등급),밥류,fd01,0.0
츄잉껌,밥류,fd01,0.0
추잉껌,밥류,fd01,0.0
캔디류(양갱),밥류,fd01,0.0
켄디류,밥류,fd01,0.0
혼합,밥류,fd01,0.0
맛살,밥류,fd01,0.0
캔디류(캐러멜),밥류,fd01,0.0
마가린,밥류,fd01,0.0
크래커,밥류,fd01,0.0
쿠키,밥류,fd01,0.0
카레(커리),밥류,fd01,0.0
가열하여 섭취하는 냉동식품,동물성가공식품류,pf21,0.1077
"흑깨다식,참깨다식 :과자류
대추조란,연근정과,금귤정과,편강정과:당절임류
호두마른정과:당절임류
매작과,쑥치자매작과:과자류",당류,pf04,0.108
"액상차,합성현미향첨가",조미식품,pf13,0.1167
식품/선천성대사질환자용식품,동물성가공식품류,pf21,0.1167
선천성 대사질환자용 식품,동물성가공식품류,pf21,0.1167
신선편의식품,특수의료용도식품,pf11,0.14
신선편의 식품,특수의료용도식품,pf11,0.14
태움·용융소금,"채소, 해조류",fd25,0.14
혼합프레스햄,죽 및 스프류,fd04,0.14
신선편의,특수의료용도식품,pf11,0.14
"소스류,레토르트식품",죽 및 스프류,fd04,0.14
소스류 염도 : 10,죽 및 스프류,fd04,0.14
인스턴트 커피,죽 및 스프류,fd04,0.14
저지방 마가린,식용유지류,pf07,0.14
캔디류(기타),기타식품류,pf24,0.15
추잉껌(기타),기타식품류,pf24,0.15
롯데제과주식회사 경남 양산시 산막동 511,주류,pf15,0.15
체중조절용 조제식품,조림류,fd11,0.1556
체중조절용조제식품,조림류,fd11,0.1556
아이스크림믹스,구이류,fd08,0.1556
아이스크림믹스류,구이류,fd08,0.1556
혼합소시지,"채소, 해조류",fd25,0.1556
어묵소시지,수·조·어·육류,fd19,0.1556
이소말토올리고,구이류,fd08,0.1556
한입떡볶이떡-떡류,과자류·빵류 또는 떡류,pf01,0.1677
프레스햄,죽 및 스프류,fd04,0.175
참기름 100%,기타식품류,pf24,0.175
분쇄가공가육,수·조·어·육류,fd19,0.175
자연숙성치즈,김치류,fd15,0.175
발효식초,식용유지류,pf07,0.175
액상요구르트,구이류,fd08,0.175
연성자연치즈,김치류,fd15,0.175
전란액,찌개 및 전골류,fd06,0.175
열가열성형제품,동물성가공식품류,pf21,0.175
축산물가공품소시지,농산가공식품류,pf16,0.175
덱스트린,죽 및 스프류,fd04,0.175
정제소금,"채소, 해조류",fd25,0.175
재제소금,"채소, 해조류",fd25,0.175
원두커피,면 및 만두류,fd03,0.175
반건조소시지,조림류,fd11,0.175
발효식초(곡물),식용유지류,pf07,0.175
곡물양조식초,조림류,fd11,0.175
영아용 조제식,조림류,fd11,0.175
카레분,벌꿀 및 화분가공품류,pf22,0.175
분쇄가공육제품,수·조·어·육류,fd19,0.2
침출차,생채·무침류,fd14,0.2
소시지,"채소, 해조류",fd25,0.2
반경성치즈,김치류,fd15,0.2
분쇄가공육,수·조·어·육류,fd19,0.2
분쇄가공육가공품,수·조·어·육류,fd19,0.2
아이스크림,구이류,fd08,0.2
액상차,음료 및 차류,fd18,0.2
소시지류,"채소, 해조류",fd25,0.2
고형차,음료 및 차류,fd18,0.2
천연향신료,음료류,pf09,0.2
아이스밀크,구이류,fd08,0.2
염지란,식용유지류,pf07,0.2
반경성치즈(자연치즈),김치류,fd15,0.2
전분가공품,찌개 및 전골류,fd06,0.2
"냉동식품, 어묵",동물성가공식품류,pf21,0.2
분쇄가공품,벌꿀 및 화분가공품류,pf22,0.2
분쇄가공육식품,수·조·어·육류,fd19,0.2
액상차(기타),음료 및 차류,fd18,0.2
액상차(과실차),음료 및 차류,fd18,0.2
분쇄가공육류,수·조·어·육류,fd19,0.2
아이스밀크(유지방3%),구이류,fd08,0.2
아이스크림(유지방9%),구이류,fd08,0.2
동그랑땡류,동물성가공식품류,pf21,0.2
규격외일반가공식품,과일류,fd22,0.2
아이스크림류,구이류,fd08,0.2
아이스밀크(유지방2%),구이류,fd08,0.2
압착들기름,기타식품류,pf24,0.2
압착참기름,기타식품류,pf24,0.2
단일침출차,과일류,fd22,0.2
매실농축액,농산가공식품류,pf16,0.2
규격외 일반가공식품,과일류,fd22,0.2
쳔연향신료,음료류,pf09,0.2
떡볶이떡-떡류,구이류,fd08,0.2
천연향신료(생강),음료류,pf09,0.2
옥수수기름,수산가공식품류,pf20,0.2
비스킷류,죽 및 스프류,fd04,0.2
비스킷,죽 및 스프류,fd04,0.2
"떡볶이떡: 떡류
국물쫄복이소스 : 소스
생쫄면: 숙면
대파와 양배추 고명: 기타가공품",기타식품류,pf24,0.2003
우유파스퇴라이제이션,유가공품류,pf19,0.2073
떡류/소스류,과자류·빵류 또는 떡류,pf01,0.2156
비유지방아이스크림,유가공품류,pf19,0.22
저지방유당분해우유,당류,pf04,0.22
"빵류, 카스텔라",빵 및 과자류,fd02,0.2306
혼합식육추출가공품,식육가공품 및 포장육,pf17,0.2333
가공소금,"채소, 해조류",fd25,0.2333
소스,죽 및 스프류,fd04,0.2333
단순식육추출가공품,식육가공품 및 포장육,pf17,0.2333
소스류,죽 및 스프류,fd04,0.2333
어묵,수·조·어·육류,fd19,0.2333
연성치즈,김치류,fd15,0.2333
즉섭섭취식품,즉석식품류,pf23,0.2333
떡국/떡류(주정침지제품),국 및 탕류,fd05,0.2333
자연치즈,김치류,fd15,0.2333
냉동떡류,동물성가공식품류,pf21,0.2333
연성가공치즈,김치류,fd15,0.2333
자연치즈(연성치즈),김치류,fd15,0.2333
볶은커피,볶음류,fd10,0.2333
조제커피,조림류,fd11,0.2333
어묵류,수·조·어·육류,fd19,0.2333
자연치즈(반경성),김치류,fd15,0.2333
경성치즈,김치류,fd15,0.2333
소스류(조미식품),죽 및 스프류,fd04,0.2333
어묵(유탕처리식품/비살균제품),수·조·어·육류,fd19,0.2333
금농홍차,농산가공식품류,pf16,0.2333
완자류,빵 및 과자류,fd02,0.2333
환자용 균형영양식,특수영양식품,pf10,0.2333
생햄,생채·무침류,fd14,0.2333
혼합가공치즈,김치류,fd15,0.2333
어묵(유탕처리제품/비살균제품),수·조·어·육류,fd19,0.2333
향신료조제품,조림류,fd11,0.2333
곡류사공품,"곡류, 서류 제품",fd24,0.2333
식품/가공소금,"채소, 해조류",fd25,0.2333
어묵(살균제품),수·조·어·육류,fd19,0.2333
농축육수,농산가공식품류,pf16,0.2333
건강기능식품,기타식품류,pf24,0.2333
휘핑크림,조림류,fd11,0.2333
요구르트,구이류,fd08,0.2333
소스류(레토르트식품),죽 및 스프류,fd04,0.2333
자연치즈(모짜렐라),김치류,fd15,0.2333
백설탕,국 및 탕류,fd05,0.2333
갈색설탕,젓갈류,fd16,0.2333
향신료 조제품,수·조·어·육류,fd19,0.235
유기농저지방우유,유가공품류,pf19,0.2356
영·유아용 곡류조제식,유가공품류,pf19,0.2356
이소말토올리고당,당류,pf04,0.2356
땅콩또는견과류가공품,두부류 또는 묵류,pf06,0.2545
식육추출가공퓸,식육가공품 및 포장육,pf17,0.2545
땅콩또는견과류가공품(레토르트식품),두부류 또는 묵류,pf06,0.2545
땅콩 또는견과류가공품,두부류 또는 묵류,pf06,0.2545
식육추출물가공품,식육가공품 및 포장육,pf17,0.2545
초콜렛가공품,코코아가공품류 또는 초콜릿류,pf03,0.2545
영양강화밀가루,특수영양식품,pf10,0.2545
성장기용 조제식,장류,pf12,0.255
분말.결정포도당,당류,pf04,0.255
강화저지방우유,유가공품류,pf19,0.255
농후크림발효유,유가공품류,pf19,0.255
프락토올리고당,당류,pf04,0.255
성장기용조제식,장류,pf12,0.255
분쇄 가공육,수·조·어·육류,fd19,0.26
분쇄 가공육제품,수·조·어·육류,fd19,0.26
패밀리밀크초콜릿,코코아가공품류 또는 초콜릿류,pf03,0.2625
김칫속,튀김류,fd12,0.28
물엿,동물성가공식품류,pf21,0.28
천일염,과일류,fd22,0.28
생치즈,김치류,fd15,0.28
식육추출가공품,식육가공품 및 포장육,pf17,0.28
베이컨,구이류,fd08,0.28
식육추출가공식품,식육가공품 및 포장육,pf17,0.28
들기름,기타식품류,pf24,0.28
참기름,기타식품류,pf24,0.28
탄산수,농산가공식품류,pf16,0.28
베이컨류,구이류,fd08,0.28
석박지,즉석식품류,pf23,0.28
파스타류,기타식품류,pf24,0.28
과.채주스-가열,주류,pf15,0.28
축산물가공품,농산가공식품류,pf16,0.28
냉동식품,동물성가공식품류,pf21,0.28
참기름(통깨),기타식품류,pf24,0.28
김자반,튀김류,fd12,0.28
사탕류,국 및 탕류,fd05,0.28
콩기름,기타식품류,pf24,0.28
신장질환자용 식품,장류,pf12,0.28
압착올리브유,유가공품류,pf19,0.28
콩기름(대두유),기타식품류,pf24,0.28
성장용조제식,장류,pf12,0.28
개량한식간장,장류,pf12,0.28
유화형드레싱,유가공품류,pf19,0.28
임산·수유부용식품,유가공품류,pf19,0.28
임산수유부용식품,유가공품류,pf19,0.28
유당분해우유,당류,pf04,0.28
유산균발효유,유가공품류,pf19,0.28
生치즈,김치류,fd15,0.28
설탕,국 및 탕류,fd05,0.28
자꾸자꾸떡-떡류,과자류·빵류 또는 떡류,pf01,0.2933
땅콩 또는 견과류 가공품(레토르트 식품),두부류 또는 묵류,pf06,0.3045
"프레스햄,식육가공품",식육가공품 및 포장육,pf17,0.3083
비가열양념육,"장류, 양념류",fd20,0.3111
어육소시지,수·조·어·육류,fd19,0.3111
양념육류-양념육,"장류, 양념류",fd20,0.3111
"양념육류,양념육","장류, 양념류",fd20,0.3111
절임배추,장아찌·절임류,fd17,0.3111
어육가공품중 어묵,수·조·어·육류,fd19,0.3111
알가열성형제품,알가공품류,pf18,0.3133
건조저장육류,장류,pf12,0.3133
건조저장육,장류,pf12,0.3133
농후발효유,유가공품류,pf19,0.3133
알가열 성형제품,알가공품류,pf18,0.3133
저지방우유,유가공품류,pf19,0.3133
유기농우유,유가공품류,pf19,0.3133
건조 저장육류,장류,pf12,0.3133
저지방우유(유지방 함량1.5% 미만),유가공품류,pf19,0.3133
과자유처리제품,유가공품류,pf19,0.3133
크림발효유,유가공품류,pf19,0.3133
당뇨환자용식품,당류,pf04,0.3133
해바라기유,유가공품류,pf19,0.3133
정체유채유,유가공품류,pf19,0.3133
신분해간장,장류,pf12,0.3133
땅콩 또는 견과류 가공품,두부류 또는 묵류,pf06,0.3145
땅콩 또는 결과류 가공품,두부류 또는 묵류,pf06,0.3145
땅콩 또는 견과류가공품,두부류 또는 묵류,pf06,0.3145
땅콩 또는 견과류가공,두부류 또는 묵류,pf06,0.3145
밀크초콜릿,코코아가공품류 또는 초콜릿류,pf03,0.3231
"면-국수,스프-복합조미식품",조미식품,pf13,0.3345
액젓,젓갈류,fd16,0.35
가열양념육,"장류, 양념류",fd20,0.35
일반식품,과일류,fd22,0.35
과·채가공품류,과일류,fd22,0.35
과체가공,과일류,fd22,0.35
갈비가공품,젓갈류,fd16,0.35
과.채가공품류,과일류,fd22,0.35
국수,수산가공식품류,pf20,0.35
일반가공품,과일류,fd22,0.35
식용얼음,식용유지류,pf07,0.35
식물성크림,동물성가공식품류,pf21,0.35
준초콜릿,코코아가공품류 또는 초콜릿류,pf03,0.35
국수(숙면),수산가공식품류,pf20,0.35
과.채가공품,과일류,fd22,0.35
치즈,김치류,fd15,0.35
과채류가공품,과일류,fd22,0.35
국수(건면),수산가공식품류,pf20,0.35
과채가공품,과일류,fd22,0.35
가열양념육류,"장류, 양념류",fd20,0.35
가공치즈,김치류,fd15,0.35
일반가공식품,과일류,fd22,0.35
과·채가공품,과일류,fd22,0.35
국수(생면),수산가공식품류,pf20,0.35
국수(호화건면),수산가공식품류,pf20,0.35
"식품,국수",수산가공식품류,pf20,0.35
곡물가공품,"곡류, 서류 제품",fd24,0.35
과제,과일류,fd22,0.35
일반가공,과일류,fd22,0.35
한과류,과일류,fd22,0.35
국수(개량숙면),수산가공식품류,pf20,0.35
유지류-대두유-식용유,식용유지류,pf07,0.35
크림,조림류,fd11,0.35
어묵/어육제품,수·조·어·육류,fd19,0.35
식물성 크림,동물성가공식품류,pf21,0.35
떡류,과자류·빵류 또는 떡류,pf01,0.355
알수없음,알가공품류,pf18,0.36
양조간장,장류,pf12,0.36
살균탁주,주류,pf15,0.36
저지방가공유,유가공품류,pf19,0.36
과채주스,주류,pf15,0.36
과 · 채주스,주류,pf15,0.36
과·채주스,주류,pf15,0.36
